	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
0	0.48146472587606803	0.19456659493385145	0.016784907312172317	0.022024076387865927	0.12412752058448177	0.1129794279017355	0.07560456554182808	0.02915961628585854	0.04433413297452292	0.0640511010202625	0.003456373692964713	0.019084243195214935	0.002647681495594683	0.001255814534706963	0.0031981081082496743	0.018459666534401644	0.033604296240295754	0.0357395581931337	0.013303774665504522		0.011690480619117484		0.03647034928318995	0.004029268094821979	0.015618806342790342	0.05498895833060956	0.0059013999823592286
haza	0.5918494212566869	0.2822213970905975	0.19828076218738946	0.023186702156326545	0.6859705301176432	0.5704041010811505	0.21219271845349072	0.13406097068878886	0.28191923176697903	0.049308682593286565	0.09881312973413506	0.07461043915592706				0.09553309026281506	0.22801829038485957	0.10784743832497044	0.12190345516014618				0.08380980491437467	0.009596294166632383	0.07127536220372184	0.08251045974456758	
le	0.3957693067906495	0.21223315591349087	0.1641044254831099	0.01527395776964829	0.2898484063502459	0.10403825944144478	0.18460453868730603	0.05114124640229776	0.14215532180475648	0.019867991762821814	0.03555833927768359	0.008802100580343936	0.005098617036322631	0.04459749749960816		0.015105488750362585	0.08930569853781685	0.01372766481603444	0.6175937039771763		0.02353285474297523		0.07206535885341032	0.06548442443857676	0.0848018666641088	0.08002619597914751	0.033216184529889996
be	0.7295813136268142	0.305640064525011	0.04359849952271756	0.0427241379137053	0.15777050571875217	0.13170991589346243	0.0852792837334887	0.9244898252705418	0.0669406580777121	0.09396586571160594	0.00624526367150273	0.03414346504039987	0.01689203836407971	0.03792901317211011		0.03177080847546336	0.06394918202361358	0.1060205355026281	0.10139658324961381		0.021119187563720762		0.06431331600071395	0.0017918606003254655	0.07556764553923352	0.08953996255858006	0.030663218110989394
el	0.5385722207889476	0.12574987269731683	0.046688863811300746	0.02457393071791915	0.16711278994128748	0.06548123054187964	0.09434015793417126	0.0012238865704566515	0.09794550716644378	0.05920153717826816	0.0016689082745991266	0.012167158033229281	0.027910189764803507	0.02744492197227015	0.00013085249271165448	0.04617855687433323	0.06693445945169947	0.12014230123229039	0.06334248227945126		0.00832060540898748		0.3132098864429723	0.026486381581236368	0.005602019341806063	0.09210262857243373	0.007310067879155951
meg	0.5961202057420953	0.271632121478304	0.003447385394290455	0.044048444037745264	0.08838233688159892	0.300993222205458	0.06796225655225215	0.1688863083545282	7.360990334950137e-05	0.08144285217406136	0.10813005610887881	0.04221970070247178	0.023607090015719704	0.020053784247982712	0.011628239040198808	0.009907289575437038	0.061197133727704064	0.19689268295346718	0.05943590088470263		0.003648107367646097		0.08551413959077817	0.00814925106332413	0.021814236191213164	0.09244148682336839	0.009821410271814362
át	0.777900941668062	0.3091744313721918	0.18645733611670556	0.016830666764746965	0.195930356339396	0.33960804682421153	0.11197090299332714	0.18715970652958566	0.08031715094294692	0.014382856002287966	0.052881976958177326	0.019090391152849457	0.022853349055762213	0.000578515137416112		0.02245204845039262	0.16511419960540566	0.2831558199308032	0.06889729683199249				0.026504410953747812	0.017976277195960608	0.0802747689665807	0.4311677344710156	0.008979451816034196
tovább	0.7798657826476885	0.2772666411424428	0.18937153726917658		0.6411794107666485	0.34855967523029213	0.05715514905070221	0.03275165921593753	0.12269506422695468								0.13095775346938895	0.22681668725156703						0.026216982921236486	0.061564407514947565		
ki	0.8601859290974441	0.2887009249376095	0.059121406362156056	0.029277889421492176	0.1953014643051464	0.19262445734757058	0.13780016011749138	0.10044409479131927	0.0854577486555176	1.160780984126451	0.07887328814479652	0.037833018562970555	0.006053580706861605	0.011443780305660707	0.006115302905573126	0.029509867776919056	0.07061137940738181	0.01882681791699077	0.04500104149719292		0.0153948006309973		0.08710255867549888	0.007939078612139161	0.09418949586104736	0.07375368422087661	0.03836177280592149
neki	0.2870457580154033	0.021452191221303662	0.20745836234861237		0.4568379454028084	0.6066057460772613	2.6495393591086236		0.22766298265112514								0.25612502872165177	0.24149392787212592						0.15074124209639422	0.08755755568409476		
össze	0.6484649972793745	0.32746330789617595	0.1583824706339152	0.059503820770404045	0.12082169571601709	0.25546950267747753	0.20795773014475888	0.11709928662905994	0.07799892639878078	0.009830728624884126	0.13662846177166288	0.0892854046533745				0.07109675718103378	0.05848440104391988	0.14348414363416745	0.1156145529722282				0.06560359032788553	0.024448205375169813	0.5642640673365517	0.05483929160604102	
fel	0.6247576796084281	0.3178156668646622	0.02955940278804004	0.015482675664487414	0.20094270475942153	0.21644996469210848	0.14864245590546257	0.03107546494050995	0.015669756962439184	0.0036712940742231834	0.04791023156749952	0.01422289214578723	0.09789592853950069	0.016298023479453243		0.020663726645517234	0.06046190887664601	0.25870328225340283	0.08425799646710602		0.017132997694245963		0.07564335750654355	0.021576745722274228	0.08485789188174574	0.0840011397180884	0.008409360387685336
rá	0.3644755646456071	0.2954493104842792	0.6406196548076998	0.012958042718650678	0.3220751320709308	0.3597441208805876	0.20280662045356818	0.18519997194456472	0.12602806774808303	0.03372035152029948	0.14432552671862894	0.056199742475289374				0.07981151203360734	0.2293078161552805	1.3108157973639123	0.14832294977592275				0.04177663326404385	0.01493934032455923	0.1649678423934403	0.08159576542363466	
bele	0.39882913795440084	0.33396706603981496	0.06977971878327423	0.008243104537774429	0.19389347018528283	0.4135167655586783	0.21877993454786218	3.2650684035826334	0.2275785473688126	0.12238392802257843	0.12739658213090788						0.23443320132633716	0.21898990909220264	0.14610705598944668				0.09612293162169547	0.04369056258347923	0.1536216166882505		
hozzá	0.5691229800735924	0.28171559079528086	0.10795661816428133	0.07128588015808512	0.048350977824852454	0.5500149414220524	0.21801404835561056	0.18302956486868555	0.1698171274698042	0.08947570566431189	3.6978119741521804						0.11021185477491316	0.2650178046110951	0.1156324173247198				0.1133815664909469	0.10772012416377394	0.06174342211057956		
észre	1.3646010168025908	0.32932823685569906	1.6049225144369828		0.4449993580282636	0.038620795900336465	0.20062330783791407	0.17593989542677532	0.12327511691424567								0.17859240193724812	0.28508021963217434						0.021764872499445545	0.22344634403834676		
oda	0.16139687623390206	0.26747792533463705	0.17548696725462115	0.0030035883623156672	0.4785190107523641	0.4551113670620361	0.0341539110638907	0.09751217281781661	0.2745404717977318	0.08997147425175377	1.1267002810453517						0.23930903047646546	0.22131243292535158	0.14579592455862347				0.07651886004345905	0.012576218644618598	0.1816593728617859		
körül	0.5122646035225776	0.32337493639945103	0.24839347424854263		0.26493742437361556	0.022504663547674	0.21419707799627383		0.2281408355429412								0.11327920410061333	0.21678348163199251						0.14145005116320628	0.08202181572173708		
vissza	0.43077364606921725	0.28776843779357697	0.16754504734892126	0.02093683332260176	0.3157877488180861	0.1336339023335457	0.1522194372250039	0.45104307346560135	0.14391007377891507	0.0012688896058609392	0.40425988373489646	0.013169250053456939	9.4715566754513e-05	0.009495293606266827		0.07026414790269374	0.11797956419731513	0.41418871557366144	0.07632631888054021				0.018632071637392295	0.07501860453516049	0.027575425383235014	0.06423874883421664	0.06624576047460927
körbe	0.1179368451774155	0.3059027397539865			0.44732033638984053	0.5618471170956959			0.006343278825155541																		
hátra	0.4839816493525211	0.31166966083079173	0.038932559724542154		0.07942312175611194	0.36284735580739846			0.2605117538655971								0.11440443839835887	0.09464101025365579									
végig	0.531051233566923	0.32861102087634353	0.16958909522613877		0.30568255873551914	0.1918424645423026	0.22131852359592608	0.17476907073667752	0.1560387816672752								1.1346127041995655	0.22646651408329066						0.04791214613175145	0.01832872144392023		
abba	0.3915694000490688	0.30467829897965487			0.3880583064626127	0.6104502202902072			0.17471467533162768																		
viszont																											
elő	1.0435494304886843	0.32515765696138355	0.3913664251595954	0.044287451505298704	0.11833680761928063	0.47358816210369215	0.13382253603880806	0.16851516681753678	0.08169432337777621	0.24559359215561638	0.08185609314006796	0.039825357567144386				0.11595906774987567	0.14190864426503208	0.08941312968262563	0.0670571301027669				0.10391769164541804	0.13337192139359033	0.025342059968190066	0.04745271683452667	
véghez					0.7069569406013239																						
végre	1.2652172893761466	0.31591899692987363	0.17618626219018513		0.14873966278666395	0.9654390742164249			0.15073603990241197								0.08237452361122725	0.2701055726960264							0.028159061482340132		
szét	0.4242648581835797	0.30519217530945747	0.2111972661647322		0.1500167182854321	0.017584121345203606	0.16006128470950232	0.1359589740517249	0.015203593315181781								0.004282161223079273	0.09099451224457443						0.05491186358038165	0.17699209995393686		
egybe					0.4442041109173432	0.20376429824321085																					
felül	0.27889766755521544	0.24695261886721073			0.029014461516375507	0.9083878562768019			0.05398837102399979																		
túl	0.14901510876698038	0.28548033029094777	0.27529492706885295		0.0709263633766342	0.5676355876647109			0.1473810359938068								0.8275080032257064	0.19750159723037494						0.05475490712012546	0.008486223442924963		
létre	1.5515315783518508	0.305590224685681	0.19833146269597013	0.0271237768292223	0.32187948537162875	0.30194408108794407	0.18967096304856468	0.18161265581387268	0.04023384723161144	0.0004626318448464813	0.007996751677814534						0.12988473316837623	0.024549338249866524	0.0031127993607152505				0.11128040812710467	0.004873677047821438	0.28956684874048355		
utol					0.572209413940463																						
ott					0.4817739013993037	0.48004337271489417																					
alább																											
ide	0.6187007741236453	0.2773808570767304	0.2722725967209107		0.2939589708467714	0.3792369317539319			0.15754383701264546								0.19910215072902565	0.18240646972425942							0.2638630502354927		
szembe	0.4215550732904929				0.28309804546511963	0.6116847774874314																					
félbe																											
alá	1.2569947119690057	0.3073222547077321	0.10550690424407302		0.2670262568426501	1.0029697385846597	0.001259140641358168	0.13948043608133226	0.011797203475357643								0.4568752031023744	0.19359643733002665						0.09670299847056883	0.2481867175265835		
ketté																											
jól					0.1179419774856012	0.6376900489730679																					
előre					0.012508579068501198	0.23100998753242474																					
félre	0.3973821932179098	0.30703827832940905			0.2474415994984823	0.32097380320931324			0.12638219017379881																		
Végig																											
végbe					0.994757650665299	0.6237179024069563																					
helyre					0.0942841373783232	0.3249994271458323																					
meg-meg																											
tova																											
újra	0.31423705488247133	0.30809427283600455			0.23722421827524062	0.7393819611933454			0.07575231456327326																		
keresztül					0.11021922780370429	0.4290880323511964																					
fenn	0.9623499818978324	0.3280768836411594	0.01917197224346192		0.30940384174912117	0.30421355313486	0.020472706503898975	0.17389525442186232	0.01710340293765225								0.07984558791037834	0.18147529485918187						0.2301246588050559	0.17188816001031385		
tele					0.599711154530474																						
helyt					0.7647389328708465	0.6361541762720816																					
utána					0.1647575776503063	0.3634927245760497																					
fel-fel																											
ellen					0.21454455162217892	0.5038958771038763																					
közre					0.36671136629324813	0.017577538871880908																					
közbe					0.6032082067139015	0.6459148540470595																					
kölcsön					0.572209413940463																						
útba																											
béke																											
külön																											
mellé					0.8737893497921516																						
rá-rá																											
cserben																											
egyet					0.35365253871196645	0.6519634123276489																					
rajta																											
tönkre					0.5800639408717483	0.2545313631976078																					
rosszul																											
Oda																											
el-el																											
agyon					0.7570363652605441	0.05467448123781731																					
jóvá	0.44599147917673904	0.31127150825701616	0.022739688936031302		0.6538725202043967	0.9882663045167633			0.10430841900309178								0.44631923863330863	0.09152879711497677									
ellent					0.26421019051432676																						
közzé	1.9966779511121922	0.32797286276888993	0.18113298082240156		0.41307890018322263	0.13462689854219262	0.19515892253705197	0.1737249232918045	1.631246057198718								1.4187717955920323	0.24222969870308975						0.10724859793295899	0.25503837930684287		
együtt					0.043790090190155014	0.6262836306992844																					
rendre																											
újjá																											
nyilván					0.7570363652605441	0.4854057803728643																					
szemben																											
vissza-vissza																											
helyben																											
alul																											
át-át																											
szerte																											
kinn																											
odébb																											
le-le																											
odább																											
partra																											
kétségbe																											
fent																											
oda-oda																											
